statenum,states,hashtag_text
2,"Arizona,Michigan",HERO
2,"Rhode Island,Colorado",HillaryClinton
2,"Nebraska,Illinois",holdstrong
2,"Ohio,Pennsylvania",HolocaustMemorialDay
2,"Ohio,Pennsylvania",HolocaustRemembrance
2,"Colorado,California",homeless
2,"California,Washington",homelessness
2,"Indiana,Illinois",Hoosiers
2,"Washington,Maine",housing
2,"Wyoming,Michigan",HRC
2,"Ohio,Pennsylvania",HumanTrafficking
2,"Wisconsin,Colorado",hunting
2,"Iowa,Illinois",ialegis
2,"Illinois,Wisconsin",ILSen
2,"Indiana,Connecticut",Indiana
2,"Pennsylvania,Kentucky",Instagram
2,"Texas,Wisconsin",IowaCaucuses
2,"Illinois,North Carolina",iowatoday
2,"Michigan,West Virginia",ISIS
2,"Colorado,Arizona",Israel
2,"Rhode Island,Delaware",ItsOnUs
2,"West Virginia,Arizona",iVoted
2,"Rhode Island,New Jersey",JobKiller
2,"Georgia,Ohio",JohnKasich
2,"South Carolina,Nebraska",justice
2,"Wyoming,Alaska",justsayin
2,"Missouri,Kansas",KC
2,"Kansas,Michigan",KentuckyDerby
2,"Kansas,Missouri",ksed
2,"Kentucky,Texas",KyCaucus
2,"Rhode Island,California",labor
2,"Louisiana,North Carolina",LAGov
2,"Michigan,Ohio",LakeErie
2,"Louisiana,Mississippi",lalege
2,"Tennessee,Indiana",LastSOTU
2,"Pennsylvania,Ohio",lead
2,"Nebraska,Arizona",leadership
2,"Rhode Island,Idaho",LeadRight
2,"Nebraska,Pennsylvania",LeapDay
2,"Wyoming,Michigan",LGBTQ
2,"Louisiana,Colorado",liar
2,"Nebraska,Iowa",LNK
2,"South Carolina,New Mexico",longreads
2,"California,Hawaii",LunarNewYear
2,"Wisconsin,Illinois",Madison
2,"New York,Connecticut",mainstreet
2,"Missouri,Wisconsin",MakingAMurderer
2,"Connecticut,Alabama",manufacturing
2,"Massachusetts,North Carolina",mapoli
2,"Mississippi,Pennsylvania",MardiGras
2,"Ohio,Georgia",Marietta
2,"Utah,California",MartinLutherKing
2,"Maryland,Illinois",MarylandDay
2,"Maryland,Rhode Island",MDGOP
2,"California,Texas",measles
2,"Pennsylvania,Iowa",MedicalCannabis
2,"Florida,Wyoming",Medicare
2,"Kansas,Washington",MerleHaggard
2,"Michigan,Arizona",MI
2,"Michigan,Texas",MichiganPrimary
2,"Florida,Ohio",military
2,"Rhode Island,Arizona",millennials
2,"Illinois,Colorado",MillennialTalk
2,"Mississippi,Colorado",mississippi
2,"Pennsylvania,Wyoming",MMJ
2,"Arizona,Ohio",momlife
2,"North Carolina,Michigan",MTP
2,"Tennessee,Indiana",NancyReagan
2,"Arizona,Virginia",nationalbeerday
2,"Kansas,Illinois",NationalHugANewsPersonDay
2,"Colorado,Florida",NationalHugDay
2,"Florida,Colorado",NationalPetDay
2,"South Carolina,Colorado",NC
2,"Iowa,South Carolina",NCAA
2,"Alabama,Kansas",NCAATOURNAMENT
2,"Colorado,North Carolina",ncleg
2,"North Carolina,Wisconsin",ncsen
2,"Louisiana,Nebraska",NDP
2,"Nebraska,Wyoming",Nebraska
2,"Florida,Illinois",NerdProm
2,"Delaware,Michigan",netDE
2,"Nevada,Texas",Nevadacaucus
2,"Illinois,North Carolina",NeverForget
2,"Illinois,Colorado",NEvsDEN
2,"Missouri,Michigan",newspapers
2,"New Hampshire,North Carolina",nhpolitics
2,"New Hampshire,Wisconsin",nhsen
2,"Pennsylvania,California",NIH
2,"Tennessee,Wisconsin",NoHateInMyState
2,"Maryland,Tennessee",NOMOREVICTIMS
2,"Maine,West Virginia",nope
2,"Virginia,Ohio",NotTheOnion
2,"Nevada,Idaho",NVDemsCaucus
2,"Nevada,Arizona",nved
2,"New York,Minnesota",NYC
